id,Nome,Organizzatore,Eventi,Capienza,Costo medio,Categoria,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
080s,Politecnico,,7,,,Sala_concerto,Sala da concerto,"Piazza Leonardo da Vinci, 32, Milano, Italia",45.4780981,9.22727108,,,,,s080,2017,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s080.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s080.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s080.jpg
004s,Rotonda del Pellegrini,Ambrosianeum,42,100,,Sala_concerto,Sala da concerto,"Via delle Ore, 3, Milano, Italia",45.46289234,9.19255793,,,,,s004,,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s004.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s004.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s004.jpg
084s,Sala Leone XIII,A.L.C.I.,13,950,,Sala_concerto,Sala da concerto,"Via Leone XIII, 12, Milano, Italia",45.47418608,9.1622436,,1950,,,s084,1955-56,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s084.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s084.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s084.jpg
104s,Salone degli affreschi (Umanitaria),Teatro del Popolo,22,,,Sala_concerto,Sala da concerto,"Via Francesco Daverio, 7, Milano, Italia",45.45914858,9.20184374,,,,,s104,1920-1930,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s104.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s104.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s104.jpg
088s,Sferisterio Diana,,3,2000,,Sala_concerto,Sala da concerto,"Viale Piave, 42, Milano, Italia",45.47397166,9.20702577,,,,,s088,1937,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s088.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s088.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s088.jpg
090s,Societa' del Giardino,,1,,,Sala_concerto,Sala da concerto,"Via San Paolo, 10, Milano, Italia",45.46592479,9.19387221,,,,,s090,20/12/2012,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s090.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s090.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s090.jpg
114s,Teatro Rosetum,,1,320,,Sala_concerto,Sala da concerto,"Via Pisanello, 21, Milano, Italia",45.46696316,9.14036214,,,,,s114,2021,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s114.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s114.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s114.jpg
119s,Universita Cattolica,,1,,,Sala_concerto,Sala da concerto,"Largo Agostino Gemelli, 1, Milano, Italia",45.4630515,9.1767592,,,1927-1934,,s119,,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s119.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s119.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s119.jpg
120s,Universita degli Studi,,1,626,,Sala_concerto,Sala da concerto,"Via Festa del Perdono, 7, Milano, Italia",45.46069879,9.19474125,,1951-1958,,,s120,1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s120.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s120.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s120.jpg
005s,Auditorium Angelicum,Angelicum,150,250,,Sala_concerto,Sala da concerto,"Via Renzo Bertoni, 5, Milano, Italia",45.47566064,9.19198394,,,,,s005,,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s005.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s005.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s005.jpg
