id,Nome,Organizzatore,Eventi,Capienza,Costo medio,Categoria,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
070s,Palazzo del Ghiaccio,,12,4000,,Palazzetto,Palazzetto,"Via Giovanni Battista Piranesi, 14, Milano, Italia",45.46023223,9.22715843,,,,,s070,18/05/1957,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s070.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s070.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s070.jpg
071s,Palazzo dello Sport,,19,12000,,Palazzetto,Palazzetto,"Piazza Sei Febbraio, Milano, Italia",45.47743233,9.15901959,,,,,s071,febbraio 1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s071.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s071.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s071.jpg
