id,Nome,Organizzatore,Eventi,Anno,Capienza,Costo medio,Categoria,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
006s,Arenella,,143,,500,,Dancing,Dancing,"Via Pietro Panzeri, 5, Milano, Italia",45.45362091,9.17836368,,,,,s006,25/05/1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s006.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s006.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s006.jpg
057s,La Maggiolina,,5,,,,Dancing,Dancing,"Via Eugenio Torelli Viollier, 26, Milano, Italia",45.5004005,9.2019796,,,,,s057,4/11/1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s057.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s057.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s057.jpg
062s,Maxim,,3,,,,Dancing,Dancing,"Galleria Manzoni, Milano, Italia",45.47108636,9.19425309,,,,,s062,1955,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s062.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s062.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s062.jpg
064s,Monterosa,,83,,,,Dancing,Dancing,"Piazzale Lotto, 14, Milano, Italia",45.48072352,9.14357007,,,,,s064,24/5/1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s064.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s064.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s064.jpg
078s,Pigalle,,0,,,,Dancing,Dancing,"Corso Buenos Aires, 33, Milano, Italia",45.47938074,9.20963824,,,,,s078,02/03/1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s078.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s078.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s078.jpg
014s,Birra Italia,,22,,,,Dancing,Dancing,"Corso Sempione, 69, Milano, Italia",45.4847216,9.15960431,,,,,s014,14/11/1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s014.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s014.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s014.jpg
012s,Bel Sit,,1,,,,Dancing,Dancing,"Viale Certosa, 85, Milano, Italia",45.49331104,9.1438061,,,,,s012,14/02/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s012.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s012.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s012.jpg
056s,La Lucciola,,2,,,,Dancing,Dancing,"Viale Lombardia, 68, Milano, Italia",45.48698567,9.22382712,,,,,s056,14/02/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s056.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s056.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s056.jpg
