id,Nome,Organizzatore,Eventi,Capienza,Costo medio,Categoria,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
009s,Auditorium Tesio,,1,,,Teatro,Teatro,"Viale Angelo Salmoiraghi, 2, Milano, Italia",45.48385656,9.1409415,,,,,s009,08/02/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s009.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s009.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s009.jpg
049s,Il Globo (Arena),,0,2500,,Teatro,Teatro,"Parco Sempione, Milano, Italia",45.475339377655544,9.177437234030744,,,,,s049,1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s049.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s049.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s049.jpg
050s,Il Globo (Bande Nere),,9,2500,,Teatro,Teatro,"Piazzale Giovanni delle Bande Nere, Milano, Italia",45.46206084,9.13713276,,,,,s050,1960 circa,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s050.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s050.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s050.jpg
051s,Il Globo (Restelli),,104,2500,,Teatro,Teatro,"Via Luigi Galvani, 27, Milano, Italia",45.48836588,9.19588923,,,,,s051,1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s051.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s051.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s051.jpg
052s,Il Globo (San Barnaba),,21,2500,,Teatro,Teatro,"Via San Barnaba, 50, Milano, Italia",45.45973932,9.20235872,,,,,s052,,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s052.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s052.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s052.jpg
100s,Teatro alle Maschere,,148,158,,Teatro,Teatro,"Via Borgogna, 7, Milano, Italia",45.46593984,9.19985354,,,,,s100,1970,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s100.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s100.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s100.jpg
101s,Teatro Circo,Teatro Popolare Italiano,39,2500,,Teatro,Teatro,"Via Molino delle Armi, 31, Milano, Italia",45.45669149,9.18281078,,,,,s101,1940,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s101.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s101.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s101.jpg
102s,Teatro del Convegno,,73,400,,Teatro,Teatro,"Via degli Omenoni, 3, Milano, Italia",45.467438,9.1919337,,,,,s102,1957,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s102.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s102.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s102.jpg
111s,Teatro Odeon,,838,900,,Teatro,Teatro,"Via Santa Radegonda, 8, Milano, Italia",45.46520996,9.19252038,,,,,s111,1950-1960,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s111.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s111.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s111.jpg
