Nome,Data,Latitude,Longitude,Stato,Categoria,Link_thumbnail,id,Thumbnail,,
circolo_della_rinascente,2023:08:22,45.465386,9.198218,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/20.jpg,20,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/20.jpg?raw=true"">",,
circolo_della_stampa,2023:08:22,45.469507,9.200051,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/21.jpg,21,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/19.jpg?raw=true"">",,
circolo_filologico,2023:08:22,45.46731797,9.187011,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/22.jpg,22,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/22.jpg?raw=true"">",,
circolo_marsala,2023:08:22,45.47845197,9.187630972,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/23.jpg,23,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/23.jpg?raw=true"">",,
coccodrillo,2021:08:10,45.48042669,9.213548047,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/24.jpg,24,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/24.jpg?raw=true"">",,
conty_grill,2023:08:22,45.46831097,9.190803972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/25.jpg,25,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/25.jpg?raw=true"">",,
derby,2023:08:19,45.47826897,9.145141972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/26.jpg,26,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/26.jpg?raw=true"">",,
el_maroco,2023:08:23,45.461955,9.190832972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/27.jpg,27,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/27.jpg?raw=true"">",,
embassy_club,2021:08:10,45.4674224,9.2001659,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/28.jpg,28,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/28.jpg?raw=true"">",,
europa_club,2023:08:22,45.465516,9.197547,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/29.jpg,29,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/29.jpg?raw=true"">",,
